actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.072008,-0.282888,0.0,256.0,11.834735,2.165668,2.165668,0.0,0.0,,1.692342,0.129169,0.024599,10.0,0.245988,-0.528876,-0.528876,0.0,
,,1.0,256.0,,2.29595,2.29595,0.0,1.0,0.524156,,,,,,,,1.0,0.308594
0.107695,-0.223192,2.0,256.0,9.197738,2.299891,2.299891,0.0,2.0,,1.555577,0.128254,0.024609,10.0,0.246092,-0.469284,-0.469284,2.0,
,,3.0,256.0,,2.372066,2.372066,0.0,3.0,0.52983,,,,,,,,3.0,0.320312
0.074479,-0.320229,4.0,256.0,13.211139,2.009071,2.009071,0.0,4.0,,1.681425,0.128433,0.024864,10.0,0.248644,-0.568873,-0.568873,4.0,
,,5.0,256.0,,1.99504,1.99504,0.0,5.0,0.512737,,,,,,,,5.0,0.339844
0.100469,-0.238353,6.0,256.0,10.536157,2.131222,2.131222,0.0,6.0,,1.555408,0.137812,0.030611,10.0,0.306114,-0.544467,-0.544467,6.0,
,,7.0,256.0,,2.300177,2.300177,0.0,7.0,0.492143,,,,,,,,7.0,0.324219
0.078479,-0.215875,8.0,256.0,14.148131,2.268547,2.268547,0.0,8.0,,1.824818,0.134771,0.030542,10.0,0.305418,-0.521293,-0.521293,8.0,
,,9.0,256.0,,2.386215,2.386215,0.0,9.0,0.553537,,,,,,,,9.0,0.320312
0.069849,-0.293428,10.0,256.0,22.865387,2.354728,2.354728,0.0,10.0,,1.924259,0.128224,0.024574,10.0,0.245735,-0.539163,-0.539163,10.0,
,,11.0,256.0,,2.090294,2.090294,0.0,11.0,0.540031,,,,,,,,11.0,0.328125
0.084112,-0.128523,12.0,256.0,20.277243,2.018058,2.018058,0.0,12.0,,5.673887,0.131182,0.037083,10.0,0.370835,-0.499358,-0.499358,12.0,
,,13.0,256.0,,2.23131,2.23131,0.0,13.0,0.506783,,,,,,,,13.0,0.3125
0.075976,-0.195535,14.0,256.0,29.485197,1.977795,1.977795,0.0,14.0,,3.675804,0.137106,0.034584,10.0,0.345845,-0.541379,-0.541379,14.0,
,,15.0,256.0,,2.195183,2.195183,0.0,15.0,0.547091,,,,,,,,15.0,0.351562
0.080515,-0.252479,16.0,256.0,31.879522,2.578729,2.578729,0.0,16.0,,1.702208,0.131953,0.026095,10.0,0.260954,-0.513434,-0.513434,16.0,
,,17.0,256.0,,2.179255,2.179255,0.0,17.0,0.534299,,,,,,,,17.0,0.332031
0.0805,-0.272929,18.0,256.0,22.795351,2.363693,2.363693,0.0,18.0,,1.797141,0.131253,0.027872,10.0,0.27872,-0.55165,-0.55165,18.0,
,,19.0,256.0,,2.303397,2.303397,0.0,19.0,0.543101,,,,,,,,19.0,0.339844
0.081623,-0.20275,20.0,256.0,20.301559,2.216532,2.216532,0.0,20.0,,2.01472,0.133491,0.028879,10.0,0.288792,-0.491542,-0.491542,20.0,
,,21.0,256.0,,2.04965,2.04965,0.0,21.0,0.507893,,,,,,,,21.0,0.3125
0.089363,-0.131508,22.0,256.0,22.817404,2.310125,2.310125,0.0,22.0,,2.438849,0.13802,0.029962,10.0,0.299617,-0.431125,-0.431125,22.0,
,,23.0,256.0,,2.144196,2.144196,0.0,23.0,0.447829,,,,,,,,23.0,0.289062
0.070766,-0.249132,24.0,256.0,20.644661,2.315764,2.315764,0.0,24.0,,1.696852,0.129059,0.026913,10.0,0.26913,-0.518261,-0.518261,24.0,
,,25.0,256.0,,2.223968,2.223968,0.0,25.0,0.50023,,,,,,,,25.0,0.304688
0.06922,-0.219451,26.0,256.0,13.767383,2.440966,2.440966,0.0,26.0,,1.538789,0.129827,0.025546,10.0,0.255463,-0.474914,-0.474914,26.0,
,,27.0,256.0,,2.454211,2.454211,0.0,27.0,0.519422,,,,,,,,27.0,0.296875
0.082734,-0.268787,28.0,256.0,14.638003,2.111559,2.111559,0.0,28.0,,1.526884,0.129233,0.025255,10.0,0.25255,-0.521336,-0.521336,28.0,
,,29.0,256.0,,2.230929,2.230929,0.0,29.0,0.517632,,,,,,,,29.0,0.347656
0.086467,-0.178793,30.0,256.0,12.445112,2.138519,2.138519,0.0,30.0,,1.867391,0.131397,0.027626,10.0,0.276264,-0.455057,-0.455057,30.0,
,,31.0,256.0,,2.227585,2.227585,0.0,31.0,0.532057,,,,,,,,31.0,0.308594
0.099598,0.085512,32.0,256.0,23.204531,2.283272,2.283272,0.0,32.0,,7.464118,0.13406,0.052948,10.0,0.529483,-0.443971,-0.443971,32.0,
,,33.0,256.0,,2.060824,2.060824,0.0,33.0,0.55392,,,,,,,,33.0,0.355469
0.069871,-0.222369,34.0,256.0,10.286983,2.077196,2.077196,0.0,34.0,,1.664404,0.131152,0.027054,10.0,0.270537,-0.492906,-0.492906,34.0,
,,35.0,256.0,,2.101498,2.101498,0.0,35.0,0.507035,,,,,,,,35.0,0.332031
0.07015,-0.284514,36.0,256.0,8.409206,1.890523,1.890523,0.0,36.0,,1.707669,0.131351,0.026164,10.0,0.261636,-0.54615,-0.54615,36.0,
,,37.0,256.0,,2.338575,2.338575,0.0,37.0,0.520482,,,,,,,,37.0,0.316406
0.130487,-0.215629,38.0,256.0,7.036644,2.21015,2.21015,0.0,38.0,,2.891107,0.122811,0.021941,10.0,0.219412,-0.435042,-0.435042,38.0,
,,39.0,256.0,,2.18526,2.18526,0.0,39.0,0.499473,,,,,,,,39.0,0.335938
0.067849,-0.240894,40.0,256.0,14.133004,2.317916,2.317916,0.0,40.0,,1.596554,0.132712,0.028012,10.0,0.280125,-0.521018,-0.521018,40.0,
,,41.0,256.0,,2.111879,2.111879,0.0,41.0,0.550805,,,,,,,,41.0,0.332031
0.082103,-0.22642,42.0,256.0,14.060561,2.060736,2.060736,0.0,42.0,,1.964584,0.129147,0.025151,10.0,0.251514,-0.477935,-0.477935,42.0,
,,43.0,256.0,,1.994968,1.994968,0.0,43.0,0.533153,,,,,,,,43.0,0.386719
0.075507,-0.240173,44.0,256.0,24.517111,2.079604,2.079604,0.0,44.0,,1.696081,0.129112,0.025365,10.0,0.253652,-0.493825,-0.493825,44.0,
,,45.0,256.0,,1.851617,1.851617,0.0,45.0,0.485229,,,,,,,,45.0,0.324219
0.067581,-0.248427,46.0,256.0,20.185619,2.654188,2.654188,0.0,46.0,,1.87016,0.128289,0.02521,10.0,0.252101,-0.500528,-0.500528,46.0,
,,47.0,256.0,,2.191549,2.191549,0.0,47.0,0.577465,,,,,,,,47.0,0.363281
