actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.035631,-0.242024,0.0,256.0,9.073577,2.082519,2.082519,0.0,0.0,,1.692595,0.120072,0.024203,10.0,0.242033,-0.484057,-0.484057,0.0,
,,1.0,256.0,,1.989847,1.989847,0.0,1.0,0.487264,,,,,,,,1.0,0.265625
0.045003,-0.244672,2.0,256.0,9.656109,2.166172,2.166172,0.0,2.0,,1.556516,0.11585,0.022187,10.0,0.221872,-0.466543,-0.466543,2.0,
,,3.0,256.0,,1.857591,1.857591,0.0,3.0,0.524648,,,,,,,,3.0,0.335938
0.033774,-0.206825,4.0,256.0,8.046791,1.751938,1.751938,0.0,4.0,,2.780976,0.12084,0.025816,10.0,0.258156,-0.46498,-0.46498,4.0,
,,5.0,256.0,,2.060889,2.060889,0.0,5.0,0.502132,,,,,,,,5.0,0.273438
0.044286,-0.273743,6.0,256.0,16.618536,2.058409,2.058409,0.0,6.0,,2.228119,0.120271,0.027061,10.0,0.270613,-0.544356,-0.544356,6.0,
,,7.0,256.0,,2.32627,2.32627,0.0,7.0,0.512917,,,,,,,,7.0,0.261719
0.070847,-0.279035,8.0,256.0,27.815252,2.392274,2.392274,0.0,8.0,,1.58423,0.111276,0.019082,10.0,0.190821,-0.469856,-0.469856,8.0,
,,9.0,256.0,,1.978343,1.978343,0.0,9.0,0.495092,,,,,,,,9.0,0.257812
0.03133,-0.209374,10.0,256.0,41.378895,2.384614,2.384614,0.0,10.0,,1.952987,0.115589,0.02399,10.0,0.239896,-0.44927,-0.44927,10.0,
,,11.0,256.0,,2.104731,2.104731,0.0,11.0,0.466469,,,,,,,,11.0,0.222656
0.030582,-0.234529,12.0,256.0,45.754341,2.446895,2.446895,0.0,12.0,,1.56613,0.119413,0.024092,10.0,0.240919,-0.475448,-0.475448,12.0,
,,13.0,256.0,,2.15921,2.15921,0.0,13.0,0.542177,,,,,,,,13.0,0.285156
0.046287,-0.282522,14.0,256.0,26.520702,2.43907,2.43907,0.0,14.0,,1.521237,0.113124,0.020307,10.0,0.203071,-0.485593,-0.485593,14.0,
,,15.0,256.0,,2.074942,2.074942,0.0,15.0,0.507311,,,,,,,,15.0,0.28125
0.035882,-0.161932,16.0,256.0,23.900362,1.993908,1.993908,0.0,16.0,,1.573371,0.132954,0.033814,10.0,0.338142,-0.500074,-0.500074,16.0,
,,17.0,256.0,,2.198756,2.198756,0.0,17.0,0.578669,,,,,,,,17.0,0.328125
0.068351,-0.127152,18.0,256.0,15.684463,1.964904,1.964904,0.0,18.0,,1.663463,0.1299,0.03121,10.0,0.312096,-0.439249,-0.439249,18.0,
,,19.0,256.0,,2.147202,2.147202,0.0,19.0,0.46449,,,,,,,,19.0,0.34375
0.04705,-0.246826,20.0,256.0,30.296164,1.914594,1.914594,0.0,20.0,,1.698564,0.116825,0.022476,10.0,0.224764,-0.47159,-0.47159,20.0,
,,21.0,256.0,,2.354432,2.354432,0.0,21.0,0.558448,,,,,,,,21.0,0.292969
0.077798,-0.070294,22.0,256.0,22.916197,2.300818,2.300818,0.0,22.0,,1.722825,0.132107,0.03342,10.0,0.334202,-0.404496,-0.404496,22.0,
,,23.0,256.0,,2.712188,2.712188,0.0,23.0,0.450696,,,,,,,,23.0,0.28125
0.064969,-0.216606,24.0,256.0,31.748137,2.385199,2.385199,0.0,24.0,,3.684419,0.119659,0.027478,10.0,0.274776,-0.491381,-0.491381,24.0,
,,25.0,256.0,,2.359523,2.359523,0.0,25.0,0.562694,,,,,,,,25.0,0.28125
0.043404,-0.248011,26.0,256.0,27.346197,2.321396,2.321396,0.0,26.0,,1.681153,0.119217,0.025218,10.0,0.252176,-0.500187,-0.500187,26.0,
,,27.0,256.0,,2.212848,2.212848,0.0,27.0,0.587473,,,,,,,,27.0,0.289062
0.028512,-0.18167,28.0,256.0,27.027355,2.674385,2.674385,0.0,28.0,,1.772135,0.12145,0.026388,10.0,0.26388,-0.445551,-0.445551,28.0,
,,29.0,256.0,,2.56404,2.56404,0.0,29.0,0.501701,,,,,,,,29.0,0.269531
0.045473,-0.021057,30.0,256.0,22.213593,2.280093,2.280093,0.0,30.0,,7.783366,0.123466,0.042895,10.0,0.428955,-0.450011,-0.450011,30.0,
,,31.0,256.0,,2.339114,2.339114,0.0,31.0,0.502691,,,,,,,,31.0,0.316406
0.052019,-0.153848,32.0,256.0,13.104033,2.377208,2.377208,0.0,32.0,,1.736674,0.125282,0.029388,10.0,0.293879,-0.447727,-0.447727,32.0,
,,33.0,256.0,,2.40618,2.40618,0.0,33.0,0.560379,,,,,,,,33.0,0.304688
0.031513,-0.219777,34.0,256.0,15.187538,2.47295,2.47295,0.0,34.0,,1.654709,0.116108,0.022336,10.0,0.223364,-0.44314,-0.44314,34.0,
,,35.0,256.0,,2.478051,2.478051,0.0,35.0,0.511664,,,,,,,,35.0,0.246094
0.046592,-0.279999,36.0,256.0,15.163702,2.31312,2.31312,0.0,36.0,,3.550818,0.114224,0.024934,10.0,0.249338,-0.529338,-0.529338,36.0,
,,37.0,256.0,,2.279199,2.279199,0.0,37.0,0.522986,,,,,,,,37.0,0.277344
0.039799,-0.237236,38.0,256.0,16.899942,2.135198,2.135198,0.0,38.0,,1.564305,0.114444,0.021313,10.0,0.213129,-0.450364,-0.450364,38.0,
,,39.0,256.0,,2.444491,2.444491,0.0,39.0,0.484546,,,,,,,,39.0,0.28125
0.032613,-0.143303,40.0,256.0,10.612207,2.135142,2.135142,0.0,40.0,,5.232369,0.122127,0.035406,10.0,0.354058,-0.497361,-0.497361,40.0,
,,41.0,256.0,,2.194754,2.194754,0.0,41.0,0.573989,,,,,,,,41.0,0.304688
0.033744,-0.166832,42.0,256.0,14.682218,1.980124,1.980124,0.0,42.0,,2.924552,0.128052,0.032278,10.0,0.322778,-0.48961,-0.48961,42.0,
,,43.0,256.0,,2.105166,2.105166,0.0,43.0,0.527384,,,,,,,,43.0,0.324219
0.025313,-0.242372,44.0,256.0,25.529295,2.080945,2.080945,0.0,44.0,,1.657775,0.120096,0.025196,10.0,0.251963,-0.494335,-0.494335,44.0,
,,45.0,256.0,,2.166707,2.166707,0.0,45.0,0.502075,,,,,,,,45.0,0.285156
0.027552,-0.246245,46.0,256.0,20.822815,2.071394,2.071394,0.0,46.0,,4.244215,0.117692,0.024971,10.0,0.249706,-0.495951,-0.495951,46.0,
,,47.0,256.0,,1.974056,1.974056,0.0,47.0,0.517359,,,,,,,,47.0,0.296875
0.032721,-0.201861,48.0,256.0,18.196341,2.172566,2.172566,0.0,48.0,,1.593966,0.123037,0.027259,10.0,0.272595,-0.474455,-0.474455,48.0,
,,49.0,256.0,,2.167735,2.167735,0.0,49.0,0.479293,,,,,,,,49.0,0.285156
0.060524,-0.143854,50.0,256.0,15.201655,2.074682,2.074682,0.0,50.0,,4.222361,0.121212,0.029497,10.0,0.29497,-0.438824,-0.438824,50.0,
,,51.0,256.0,,2.402802,2.402802,0.0,51.0,0.483815,,,,,,,,51.0,0.28125
0.047737,-0.210776,52.0,256.0,26.587805,2.327343,2.327343,0.0,52.0,,2.511976,0.121827,0.027248,10.0,0.272476,-0.483251,-0.483251,52.0,
,,53.0,256.0,,2.177419,2.177419,0.0,53.0,0.513314,,,,,,,,53.0,0.308594
0.055405,-0.327818,54.0,256.0,42.850426,2.27896,2.27896,0.0,54.0,,1.685947,0.110296,0.018382,10.0,0.18382,-0.511638,-0.511638,54.0,
,,55.0,256.0,,2.302737,2.302737,0.0,55.0,0.488328,,,,,,,,55.0,0.28125
0.04755,-0.131777,56.0,256.0,23.825199,2.148039,2.148039,0.0,56.0,,1.748248,0.130131,0.032561,10.0,0.325609,-0.457386,-0.457386,56.0,
,,57.0,256.0,,2.155262,2.155262,0.0,57.0,0.50167,,,,,,,,57.0,0.273438
0.042008,-0.267028,58.0,256.0,26.482937,2.1449,2.1449,0.0,58.0,,1.83463,0.115124,0.022105,10.0,0.221052,-0.48808,-0.48808,58.0,
,,59.0,256.0,,2.368007,2.368007,0.0,59.0,0.499658,,,,,,,,59.0,0.28125
0.074851,-0.233784,60.0,256.0,10.632907,2.142594,2.142594,0.0,60.0,,1.751221,0.121561,0.024698,10.0,0.246984,-0.480768,-0.480768,60.0,
,,61.0,256.0,,2.322513,2.322513,0.0,61.0,0.487938,,,,,,,,61.0,0.28125
0.049902,-0.282517,62.0,256.0,15.186566,2.069231,2.069231,0.0,62.0,,1.777255,0.117614,0.022441,10.0,0.224411,-0.506928,-0.506928,62.0,
,,63.0,256.0,,2.059028,2.059028,0.0,63.0,0.520135,,,,,,,,63.0,0.328125
0.040177,-0.164154,64.0,256.0,25.46323,2.405566,2.405566,0.0,64.0,,5.501982,0.115401,0.032455,10.0,0.324546,-0.4887,-0.4887,64.0,
,,65.0,256.0,,1.982157,1.982157,0.0,65.0,0.562241,,,,,,,,65.0,0.308594
0.046547,-0.155366,66.0,256.0,12.989482,2.172451,2.172451,0.0,66.0,,1.846479,0.123808,0.029162,10.0,0.291616,-0.446981,-0.446981,66.0,
,,67.0,256.0,,2.260345,2.260345,0.0,67.0,0.491399,,,,,,,,67.0,0.277344
0.061179,-0.215791,68.0,256.0,15.855612,2.204275,2.204275,0.0,68.0,,1.614986,0.123096,0.026852,10.0,0.268523,-0.484314,-0.484314,68.0,
,,69.0,256.0,,1.983075,1.983075,0.0,69.0,0.546142,,,,,,,,69.0,0.320312
0.029635,-0.27947,70.0,256.0,13.884749,1.922222,1.922222,0.0,70.0,,1.927182,0.117024,0.023408,10.0,0.234077,-0.513547,-0.513547,70.0,
,,71.0,256.0,,2.004313,2.004313,0.0,71.0,0.541471,,,,,,,,71.0,0.316406
0.052604,-0.321555,72.0,256.0,19.925497,2.132801,2.132801,0.0,72.0,,1.505307,0.111818,0.018535,10.0,0.185354,-0.506909,-0.506909,72.0,
,,73.0,256.0,,2.1405,2.1405,0.0,73.0,0.512538,,,,,,,,73.0,0.273438
0.058227,-0.169522,74.0,256.0,15.364692,2.155544,2.155544,0.0,74.0,,1.740983,0.124171,0.028884,10.0,0.288845,-0.458367,-0.458367,74.0,
,,75.0,256.0,,2.513804,2.513804,0.0,75.0,0.572535,,,,,,,,75.0,0.285156
0.038768,-0.27899,76.0,256.0,10.930641,2.159039,2.159039,0.0,76.0,,1.833133,0.117751,0.022376,10.0,0.223764,-0.502755,-0.502755,76.0,
,,77.0,256.0,,2.127177,2.127177,0.0,77.0,0.487107,,,,,,,,77.0,0.273438
0.052396,-0.226414,78.0,256.0,12.221481,2.042605,2.042605,0.0,78.0,,2.295208,0.120039,0.0261,10.0,0.261002,-0.487416,-0.487416,78.0,
,,79.0,256.0,,2.013453,2.013453,0.0,79.0,0.550304,,,,,,,,79.0,0.316406
0.036839,-0.137261,80.0,256.0,19.637875,2.256755,2.256755,0.0,80.0,,1.882499,0.130599,0.032829,10.0,0.328287,-0.465549,-0.465549,80.0,
,,81.0,256.0,,2.07998,2.07998,0.0,81.0,0.535846,,,,,,,,81.0,0.308594
0.0302,-0.267335,82.0,256.0,21.33787,2.182703,2.182703,0.0,82.0,,1.639814,0.120856,0.024523,10.0,0.245231,-0.512566,-0.512566,82.0,
,,83.0,256.0,,2.052109,2.052109,0.0,83.0,0.528651,,,,,,,,83.0,0.304688
0.036209,-0.165687,84.0,256.0,20.767067,2.304768,2.304768,0.0,84.0,,2.000214,0.122509,0.028493,10.0,0.284926,-0.450613,-0.450613,84.0,
,,85.0,256.0,,2.341056,2.341056,0.0,85.0,0.470893,,,,,,,,85.0,0.257812
