actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.07197,-0.219725,0.0,256.0,24.605652,2.308202,2.308202,0.0,0.0,,5.407359,0.123104,0.03044,10.0,0.304398,-0.524123,-0.524123,0.0,
,,1.0,256.0,,2.282556,2.282556,0.0,1.0,0.536763,,,,,,,,1.0,0.289062
0.064504,-0.188509,2.0,256.0,19.960796,2.254481,2.254481,0.0,2.0,,1.856462,0.131207,0.028173,10.0,0.281733,-0.470242,-0.470242,2.0,
,,3.0,256.0,,2.177029,2.177029,0.0,3.0,0.53001,,,,,,,,3.0,0.347656
0.055991,-0.273039,4.0,256.0,22.744099,2.343865,2.343865,0.0,4.0,,1.444832,0.121701,0.02272,10.0,0.227199,-0.500238,-0.500238,4.0,
,,5.0,256.0,,2.200166,2.200166,0.0,5.0,0.564947,,,,,,,,5.0,0.347656
0.052545,-0.301794,6.0,256.0,19.197309,2.411018,2.411018,0.0,6.0,,1.920787,0.127547,0.026545,10.0,0.265451,-0.567245,-0.567245,6.0,
,,7.0,256.0,,2.450845,2.450845,0.0,7.0,0.552496,,,,,,,,7.0,0.285156
0.072343,-0.184334,8.0,256.0,13.250531,2.247245,2.247245,0.0,8.0,,1.781867,0.128311,0.027623,10.0,0.276231,-0.460565,-0.460565,8.0,
,,9.0,256.0,,2.341887,2.341887,0.0,9.0,0.477106,,,,,,,,9.0,0.304688
0.059195,-0.202058,10.0,256.0,9.605211,2.18247,2.18247,0.0,10.0,,1.679986,0.128846,0.025858,10.0,0.258578,-0.460636,-0.460636,10.0,
,,11.0,256.0,,2.143574,2.143574,0.0,11.0,0.562139,,,,,,,,11.0,0.320312
0.062265,-0.311041,12.0,256.0,11.663955,2.105302,2.105302,0.0,12.0,,1.65169,0.117573,0.019015,10.0,0.190155,-0.501195,-0.501195,12.0,
,,13.0,256.0,,2.063831,2.063831,0.0,13.0,0.534845,,,,,,,,13.0,0.316406
0.061785,-0.234048,14.0,256.0,15.61345,2.483973,2.483973,0.0,14.0,,3.073923,0.122152,0.022747,10.0,0.227466,-0.461514,-0.461514,14.0,
,,15.0,256.0,,2.049934,2.049934,0.0,15.0,0.484276,,,,,,,,15.0,0.289062
0.065652,-0.27878,16.0,256.0,19.094976,2.380225,2.380225,0.0,16.0,,1.62731,0.118234,0.020045,10.0,0.200452,-0.479233,-0.479233,16.0,
,,17.0,256.0,,2.191258,2.191258,0.0,17.0,0.515055,,,,,,,,17.0,0.289062
0.062768,-0.141001,18.0,256.0,26.453047,2.217582,2.217582,0.0,18.0,,8.524955,0.128436,0.035008,10.0,0.350076,-0.491077,-0.491077,18.0,
,,19.0,256.0,,2.105023,2.105023,0.0,19.0,0.554896,,,,,,,,19.0,0.332031
0.065886,-0.229902,20.0,256.0,21.768976,2.079103,2.079103,0.0,20.0,,1.652162,0.127845,0.027162,10.0,0.271616,-0.501518,-0.501518,20.0,
,,21.0,256.0,,2.157901,2.157901,0.0,21.0,0.518645,,,,,,,,21.0,0.3125
0.063157,-0.261483,22.0,256.0,29.110933,2.101143,2.101143,0.0,22.0,,1.772454,0.126022,0.026256,10.0,0.26256,-0.524043,-0.524043,22.0,
,,23.0,256.0,,2.13036,2.13036,0.0,23.0,0.53187,,,,,,,,23.0,0.324219
0.057158,-0.24897,24.0,256.0,30.690779,2.223262,2.223262,0.0,24.0,,1.536652,0.124426,0.02455,10.0,0.245501,-0.494471,-0.494471,24.0,
,,25.0,256.0,,2.203065,2.203065,0.0,25.0,0.498753,,,,,,,,25.0,0.304688
0.054018,-0.178482,26.0,256.0,12.034776,1.944304,1.944304,0.0,26.0,,1.75017,0.129906,0.028273,10.0,0.282732,-0.461214,-0.461214,26.0,
,,27.0,256.0,,2.407713,2.407713,0.0,27.0,0.550815,,,,,,,,27.0,0.308594
0.052881,-0.275005,28.0,256.0,9.653885,1.816245,1.816245,0.0,28.0,,1.530652,0.125579,0.025289,10.0,0.252895,-0.527899,-0.527899,28.0,
,,29.0,256.0,,2.19513,2.19513,0.0,29.0,0.52323,,,,,,,,29.0,0.308594
0.056903,-0.219426,30.0,256.0,9.243578,2.321568,2.321568,0.0,30.0,,1.674045,0.124529,0.024105,10.0,0.241046,-0.460472,-0.460472,30.0,
,,31.0,256.0,,2.10086,2.10086,0.0,31.0,0.550032,,,,,,,,31.0,0.335938
0.052542,-0.185252,32.0,256.0,13.033401,2.106796,2.106796,0.0,32.0,,1.523561,0.134496,0.029984,10.0,0.299835,-0.485088,-0.485088,32.0,
,,33.0,256.0,,2.212614,2.212614,0.0,33.0,0.505488,,,,,,,,33.0,0.316406
0.061034,-0.162606,34.0,256.0,9.830316,1.95206,1.95206,0.0,34.0,,1.72321,0.127632,0.027664,10.0,0.276637,-0.439244,-0.439244,34.0,
,,35.0,256.0,,2.225664,2.225664,0.0,35.0,0.513298,,,,,,,,35.0,0.308594
0.06598,-0.317119,36.0,256.0,11.971787,2.114066,2.114066,0.0,36.0,,3.368879,0.122281,0.021963,10.0,0.219625,-0.536744,-0.536744,36.0,
,,37.0,256.0,,2.123125,2.123125,0.0,37.0,0.49081,,,,,,,,37.0,0.273438
0.054597,-0.233734,38.0,256.0,15.183125,2.147776,2.147776,0.0,38.0,,1.61738,0.124427,0.02578,10.0,0.257796,-0.491529,-0.491529,38.0,
,,39.0,256.0,,2.225843,2.225843,0.0,39.0,0.51918,,,,,,,,39.0,0.308594
0.060436,-0.340091,40.0,256.0,17.401834,1.805671,1.805671,0.0,40.0,,1.683103,0.119913,0.022413,10.0,0.224128,-0.56422,-0.56422,40.0,
,,41.0,256.0,,2.096207,2.096207,0.0,41.0,0.512793,,,,,,,,41.0,0.296875
0.048785,-0.132521,42.0,256.0,13.977556,2.17788,2.17788,0.0,42.0,,1.756264,0.132068,0.030452,10.0,0.304525,-0.437046,-0.437046,42.0,
,,43.0,256.0,,2.078269,2.078269,0.0,43.0,0.494489,,,,,,,,43.0,0.316406
0.072076,-0.262474,44.0,256.0,21.468441,1.849045,1.849045,0.0,44.0,,1.934254,0.126124,0.024917,10.0,0.249174,-0.511647,-0.511647,44.0,
,,45.0,256.0,,2.190169,2.190169,0.0,45.0,0.465924,,,,,,,,45.0,0.277344
0.055509,-0.329617,46.0,256.0,16.665697,2.128798,2.128798,0.0,46.0,,1.447795,0.120737,0.021425,10.0,0.214249,-0.543866,-0.543866,46.0,
,,47.0,256.0,,1.973799,1.973799,0.0,47.0,0.492853,,,,,,,,47.0,0.320312
0.058695,-0.275405,48.0,256.0,22.758862,2.046634,2.046634,0.0,48.0,,2.678516,0.126981,0.027774,10.0,0.277737,-0.553141,-0.553141,48.0,
,,49.0,256.0,,2.23564,2.23564,0.0,49.0,0.521542,,,,,,,,49.0,0.273438
0.056261,-0.29372,50.0,256.0,25.174843,2.322657,2.322657,0.0,50.0,,2.021671,0.123415,0.022956,10.0,0.229562,-0.523282,-0.523282,50.0,
,,51.0,256.0,,1.931226,1.931226,0.0,51.0,0.547416,,,,,,,,51.0,0.339844
0.050259,-0.237433,52.0,256.0,17.041199,2.169145,2.169145,0.0,52.0,,1.425987,0.127869,0.026232,10.0,0.262321,-0.499754,-0.499754,52.0,
,,53.0,256.0,,1.895136,1.895136,0.0,53.0,0.535371,,,,,,,,53.0,0.367188
0.054846,-0.289644,54.0,256.0,14.62354,1.965855,1.965855,0.0,54.0,,1.481002,0.122992,0.024016,10.0,0.240156,-0.5298,-0.5298,54.0,
,,55.0,256.0,,2.04495,2.04495,0.0,55.0,0.496186,,,,,,,,55.0,0.28125
0.051072,-0.193359,56.0,256.0,20.085396,2.298237,2.298237,0.0,56.0,,1.896524,0.12973,0.029628,10.0,0.29628,-0.489639,-0.489639,56.0,
,,57.0,256.0,,2.115397,2.115397,0.0,57.0,0.509835,,,,,,,,57.0,0.296875
0.081923,-0.196395,58.0,256.0,22.070883,2.067768,2.067768,0.0,58.0,,1.561283,0.127539,0.027566,10.0,0.275659,-0.472054,-0.472054,58.0,
,,59.0,256.0,,2.036824,2.036824,0.0,59.0,0.51342,,,,,,,,59.0,0.308594
0.053133,-0.284188,60.0,256.0,20.617777,2.372381,2.372381,0.0,60.0,,1.703435,0.12094,0.022872,10.0,0.228716,-0.512905,-0.512905,60.0,
,,61.0,256.0,,2.353207,2.353207,0.0,61.0,0.511355,,,,,,,,61.0,0.304688
0.061013,-0.310012,62.0,256.0,17.616697,2.254503,2.254503,0.0,62.0,,1.648071,0.120307,0.020891,10.0,0.208911,-0.518922,-0.518922,62.0,
,,63.0,256.0,,2.163257,2.163257,0.0,63.0,0.497362,,,,,,,,63.0,0.300781
0.059014,-0.272591,64.0,256.0,17.676249,2.176701,2.176701,0.0,64.0,,2.557553,0.126802,0.026627,10.0,0.266271,-0.538862,-0.538862,64.0,
,,65.0,256.0,,2.251186,2.251186,0.0,65.0,0.523522,,,,,,,,65.0,0.335938
0.055669,-0.131098,66.0,256.0,21.230461,2.066492,2.066492,0.0,66.0,,2.970746,0.136163,0.033803,10.0,0.338029,-0.469127,-0.469127,66.0,
,,67.0,256.0,,2.191398,2.191398,0.0,67.0,0.52833,,,,,,,,67.0,0.304688
0.055574,-0.183783,68.0,256.0,29.479364,2.327418,2.327418,0.0,68.0,,1.880781,0.129563,0.029026,10.0,0.290262,-0.474044,-0.474044,68.0,
,,69.0,256.0,,2.23686,2.23686,0.0,69.0,0.53845,,,,,,,,69.0,0.320312
0.0539,-0.301191,70.0,256.0,44.526691,2.535363,2.535363,0.0,70.0,,1.584338,0.125357,0.025947,10.0,0.259472,-0.560663,-0.560663,70.0,
,,71.0,256.0,,2.297778,2.297778,0.0,71.0,0.494893,,,,,,,,71.0,0.320312
0.058471,-0.170645,72.0,256.0,21.258806,2.286027,2.286027,0.0,72.0,,1.981137,0.13185,0.02997,10.0,0.299696,-0.470341,-0.470341,72.0,
,,73.0,256.0,,2.081483,2.081483,0.0,73.0,0.596117,,,,,,,,73.0,0.375
0.052354,-0.239023,74.0,256.0,26.944456,2.423764,2.423764,0.0,74.0,,1.625781,0.125213,0.025191,10.0,0.251914,-0.490937,-0.490937,74.0,
,,75.0,256.0,,2.420791,2.420791,0.0,75.0,0.493299,,,,,,,,75.0,0.292969
