frame,action_left_arm_6d,qpos_left_arm_6d,action_left_gripper,qpos_left_gripper,action_step_norm,qpos_step_norm,phase_labels
208,"[-0.18100973963737488,0.4801360070705414,-0.05675728991627693,-0.35588353872299194,0.928058385848999,-0.12271846830844879]","[-0.1840776950120926,0.4832039475440979,-0.05982525274157524,-0.3497476279735565,0.9664078950881958,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0,0.0,before_close_command|readback_not_responding
209,"[-0.18100973963737488,0.48473793268203735,-0.05522330850362778,-0.3574175238609314,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.4893398880958557,-0.05368933081626892,-0.3497476279735565,0.9526020884513855,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0053138535089832795,0.016378420739145694,before_close_command|readback_not_responding
210,"[-0.18100973963737488,0.4893398880958557,-0.05522330850362778,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.4924078583717346,-0.05062136799097061,-0.3497476279735565,0.9480001330375671,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.004850886932736243,0.006324779137792954,before_close_command|readback_not_responding
211,"[-0.18100973963737488,0.4924078583717346,-0.05675728991627693,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.4970097839832306,-0.0475534051656723,-0.35128161311149597,0.9433982372283936,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0034300933789081587,0.007356675245860964,before_close_command|readback_not_responding
212,"[-0.18100973963737488,0.49854376912117004,-0.05522330850362778,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.5016117095947266,-0.0475534051656723,-0.35128161311149597,0.9387962818145752,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.006324752935837913,0.006508126686268076,before_close_command|readback_not_responding
213,"[-0.18100973963737488,0.5016117095947266,-0.05522330850362778,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.5062136650085449,-0.04601942375302315,-0.3528155982494354,0.9357283115386963,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0030679404735565186,0.00594109793070446,before_close_command|readback_not_responding
214,"[-0.18100973963737488,0.5016117095947266,-0.05522330850362778,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18100973963737488,0.5108156204223633,-0.04448544234037399,-0.3528155982494354,0.9341943264007568,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0,0.005313879318535889,before_close_command|readback_not_responding
215,"[-0.18100973963737488,0.5092816352844238,-0.05522330850362778,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18100973963737488,0.5108156204223633,-0.04448544234037399,-0.3528155982494354,0.9341943264007568,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.007669925689697266,0.0,before_close_command|readback_not_responding
216,"[-0.18100973963737488,0.5123496055603027,-0.05368933081626892,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.5215534567832947,-0.04448544234037399,-0.3543495833873749,0.9326603412628174,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.003430091712912545,0.011061666281550794,before_close_command|readback_not_responding
217,"[-0.18100973963737488,0.5138835906982422,-0.05368933081626892,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.5246214270591736,-0.04448544234037399,-0.3543495833873749,0.9326603412628174,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0015339851379394531,0.0030679702758789062,before_close_command|readback_not_responding
218,"[-0.18100973963737488,0.5154175758361816,-0.05062136799097061,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.526155412197113,-0.04448544234037399,-0.3543495833873749,0.9326603412628174,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0034300883809067527,0.0015339851379394531,before_close_command|readback_not_responding
219,"[-0.18100973963737488,0.5154175758361816,-0.04908738657832146,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18254372477531433,0.5353593230247498,-0.04295146465301514,-0.3543495833873749,0.9326603412628174,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0015339814126491547,0.00933086609422744,before_close_command|readback_not_responding
220,"[-0.18100973963737488,0.5154175758361816,-0.04908738657832146,-0.35895150899887085,0.9265244007110596,-0.12271846830844879]","[-0.18100973963737488,0.5353593230247498,-0.04295146465301514,-0.3543495833873749,0.9311263561248779,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.0,0.0021693825865527375,before_close_command|readback_not_responding
221,"[-0.17794176936149597,0.5138835906982422,-0.04448544234037399,-0.35895150899887085,0.928058385848999,-0.12118448317050934]","[-0.18100973963737488,0.5353593230247498,-0.04448544234037399,-0.35588353872299194,0.9295923709869385,-0.11965050548315048]",0.958495020866394,0.9473305344581604,0.006135932169859094,0.002656918689083656,before_close_command|readback_not_responding
222,"[-0.17487381398677826,0.5138835906982422,-0.04141748324036598,-0.35895150899887085,0.9295923709869385,-0.11965050548315048]","[-0.18254372477531433,0.5353593230247498,-0.04295146465301514,-0.35588353872299194,0.9295923709869385,-0.11965050548315048]",0.9567617177963257,0.9473305344581604,0.004850868084097445,0.0021693773182030708,close_command_active|readback_not_responding
223,"[-0.17487381398677826,0.5138835906982422,-0.04141748324036598,-0.35895150899887085,0.9295923709869385,-0.11965050548315048]","[-0.18254372477531433,0.5353593230247498,-0.04295146465301514,-0.35588353872299194,0.9295923709869385,-0.11965050548315048]",0.9567617177963257,0.9473305344581604,0.0,0.0,close_command_active|readback_not_responding
224,"[-0.1733398288488388,0.5123496055603027,-0.03221359848976135,-0.35895150899887085,0.9387962818145752,-0.11658254265785217]","[-0.18254372477531433,0.5353593230247498,-0.04295146465301514,-0.35588353872299194,0.9295923709869385,-0.11965050548315048]",0.9324953556060791,0.9473305344581604,0.013547770507716444,0.0,close_command_active|readback_not_responding
225,"[-0.1733398288488388,0.5108156204223633,-0.02761165425181389,-0.3574175238609314,0.9433982372283936,-0.11351457983255386]","[-0.18254372477531433,0.5353593230247498,-0.03988350182771683,-0.3574175238609314,0.9295923709869385,-0.11965050548315048]",0.8926291465759277,0.9473305344581604,0.007514951836452487,0.0034300883809067527,close_command_active|readback_not_responding
226,"[-0.1733398288488388,0.5108156204223633,-0.02761165425181389,-0.3574175238609314,0.9433982372283936,-0.11351457983255386]","[-0.18254372477531433,0.5353593230247498,-0.03834952041506767,-0.3574175238609314,0.9295923709869385,-0.11965050548315048]",0.8926291465759277,0.9459124207496643,0.0,0.0015339814126491547,close_command_active|readback_response_active
227,"[-0.16873788833618164,0.5077476501464844,-0.019941750913858414,-0.3574175238609314,0.9526020884513855,-0.11044661700725555]","[-0.18254372477531433,0.5353593230247498,-0.03834952041506767,-0.3574175238609314,0.9295923709869385,-0.11965050548315048]",0.7331644892692566,0.9459124207496643,0.013547730014348345,0.0,close_command_active|readback_response_active
228,"[-0.16566993296146393,0.5062136650085449,-0.016873789951205254,-0.3574175238609314,0.9572040438652039,-0.11044661700725555]","[-0.17947575449943542,0.5353593230247498,-0.03221359848976135,-0.35895150899887085,0.9326603412628174,-0.11504856497049332]",0.6100993752479553,0.9118775129318237,0.006508136344900453,0.008944573102516533,close_command_active|readback_response_active
229,"[-0.16566993296146393,0.5062136650085449,-0.016873789951205254,-0.3574175238609314,0.9572040438652039,-0.11044661700725555]","[-0.17947575449943542,0.5338253378868103,-0.029145635664463043,-0.3604854941368103,0.9341943264007568,-0.11504856497049332]",0.6100993752479553,0.8962782621383667,0.0,0.004058537557750298,close_command_active|readback_response_active
230,"[-0.15800002217292786,0.5046796798706055,-0.016873789951205254,-0.35895150899887085,0.9725438356399536,-0.1089126393198967]","[-0.17947575449943542,0.5338253378868103,-0.029145635664463043,-0.3604854941368103,0.9341943264007568,-0.11504856497049332]",0.2963699698448181,0.8962782621383667,0.01735500076487856,0.0,close_command_active|readback_response_active
231,"[-0.15186409652233124,0.5046796798706055,-0.016873789951205254,-0.35895150899887085,0.9848157167434692,-0.11044661700725555]","[-0.17487381398677826,0.5322913527488708,-0.023009711876511574,-0.3604854941368103,0.9433982372283936,-0.11198060214519501]",0.1247721016407013,0.7686473727226257,0.013805858790882523,0.012462138582021304,close_command_active|readback_response_active
232,"[-0.14879614114761353,0.5046796798706055,-0.01840776950120926,-0.35895150899887085,0.9924855828285217,-0.1089126393198967]","[-0.1733398288488388,0.5322913527488708,-0.02147573232650757,-0.36201947927474976,0.9464661478996277,-0.11198060214519501]",0.045039765536785126,0.6991595029830933,0.008540806563143965,0.004058496021106956,close_command_active|readback_response_active
233,"[-0.1365242898464203,0.5046796798706055,-0.02147573232650757,-0.35895150899887085,1.0139613151550293,-0.1089126393198967]","[-0.17180585861206055,0.5322913527488708,-0.019941750913858414,-0.36201947927474976,0.9526020884513855,-0.11044661700725555]",0.01904008910059929,0.6424346566200256,0.024924241396997678,0.006686481923986614,close_command_active|readback_response_active
234,"[-0.12732040882110596,0.5046796798706055,-0.026077674701809883,-0.35895150899887085,1.0293011665344238,-0.1089126393198967]","[-0.1672039031982422,0.5307573676109314,-0.02147573232650757,-0.3635534644126892,0.9602720141410828,-0.11044661700725555]",0.05543963611125946,0.5899641513824463,0.018471609022921002,0.009330866706659223,close_command_active|readback_response_active
235,"[-0.12732040882110596,0.5046796798706055,-0.026077674701809883,-0.35895150899887085,1.0293011665344238,-0.1089126393198967]","[-0.16260196268558502,0.5307573676109314,-0.023009711876511574,-0.3635534644126892,0.9694758653640747,-0.11044661700725555]",0.05543963611125946,0.570110559463501,0.0,0.010403933250306639,close_command_active|readback_response_active
236,"[-0.10584467649459839,0.503145694732666,-0.029145635664463043,-0.3543495833873749,1.0584467649459839,-0.10737866163253784]","[-0.16260196268558502,0.5307573676109314,-0.023009711876511574,-0.3635534644126892,0.9694758653640747,-0.11044661700725555]",0.027706647291779518,0.570110559463501,0.036687454088265306,0.0,close_command_active|readback_response_active
237,"[-0.09817477315664291,0.49854376912117004,-0.02761165425181389,-0.3528155982494354,1.0676506757736206,-0.10737866163253784]","[-0.15493206679821014,0.5292233824729919,-0.02147573232650757,-0.3635534644126892,0.9924855828285217,-0.1089126393198967]",0.029439959675073624,0.5715286731719971,0.013016271372715911,0.02439946089415528,close_command_active|readback_response_active
