robot,delta_m,trial_count,left_mean_normal_force_n,left_minimum_stable_normal_force_n,right_mean_normal_force_n,right_minimum_stable_normal_force_n,left_right_asymmetry_ratio,required_each_n
follower_left,0.0,10,0.03046443973609362,0.0298639039496189,0.007961495532067172,0.006849401295487312,0.22935384827926084,0.14014285714285715
follower_left,0.0005,10,0.04104676010621961,0.04077616858455296,0.007487229950810061,0.006422117018831611,0.15749682331028203,0.14014285714285715
follower_left,0.001,10,0.051837536652469124,0.051196683401061746,0.007166744227788825,0.0062665313687641925,0.12240111961303793,0.14014285714285715
follower_left,0.0015,10,0.06262906467056537,0.06108196269729512,0.007328877452017107,0.006692824478351046,0.10957120863189655,0.14014285714285715
follower_left,0.002,10,0.07241261762692403,0.07164828460109487,0.007610404743437264,0.006551439401142276,0.09143888702454939,0.14014285714285715
follower_right,0.0,10,0.03046443973609362,0.0298639039496189,0.007961495532067172,0.006849401295487312,0.22935384827926084,0.14014285714285715
follower_right,0.0005,10,0.04104676010621961,0.04077616858455296,0.007487229950810061,0.006422117018831611,0.15749682331028203,0.14014285714285715
follower_right,0.001,10,0.051837536652469124,0.051196683401061746,0.007166744227788825,0.0062665313687641925,0.12240111961303793,0.14014285714285715
follower_right,0.0015,10,0.06262906467056537,0.06108196269729512,0.007328877452017107,0.006692824478351046,0.10957120863189655,0.14014285714285715
follower_right,0.002,10,0.07241261762692403,0.07164828460109487,0.007610404743437264,0.006551439401142276,0.09143888702454939,0.14014285714285715
