robot,commanded_joint,step,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,gripper,left_finger,right_finger
follower_left,waist,0,0.04248102009296417,-0.9599009156227112,1.1619423627853394,0.011211770586669445,-0.29126620292663574,2.508524266886525e-05,5.20236644661054e-05,0.021008554846048355,-0.013807708397507668
follower_left,waist,1,0.05761512741446495,-0.9599072337150574,1.161946415901184,-0.018676793202757835,-0.29094555974006653,0.0034029711969196796,2.630021981531172e-06,0.025400403887033463,-0.01380347553640604
follower_left,waist,2,0.04489898681640625,-0.9599786996841431,1.1606578826904297,-0.012802289798855782,-0.29371875524520874,-0.012269080616533756,-1.1095182799181202e-06,0.03168915957212448,-0.018868930637836456
follower_left,waist,3,0.05238451808691025,-0.9600536227226257,1.1610521078109741,-0.002714263740926981,-0.29604968428611755,8.484835416311398e-05,-5.326710379449651e-06,0.03430523723363876,-0.02596546709537506
follower_left,waist,4,0.05019572377204895,-0.9598804712295532,1.161409854888916,-0.0018318922957405448,-0.29552364349365234,0.0001916590117616579,-9.595237315807026e-06,0.037253160029649734,-0.030617736279964447
follower_left,waist,5,0.05015641823410988,-0.9599664807319641,1.1612889766693115,-0.0011491028126329184,-0.29492416977882385,0.00028823892353102565,-1.3394840607361402e-05,0.038553789258003235,-0.034400228410959244
follower_left,waist,6,0.05012788623571396,-0.9599215984344482,1.1612237691879272,-0.0006781314150430262,-0.2960698902606964,0.00035741523606702685,-1.6012769265216775e-05,0.03861479088664055,-0.03674641251564026
follower_left,waist,7,0.05010536313056946,-0.9599887132644653,1.1611566543579102,-0.0003385685558896512,-0.29616084694862366,0.0003964554634876549,-1.7407019186066464e-05,0.03758656978607178,-0.03765839338302612
follower_left,waist,8,0.05008977651596069,-0.959926187992096,1.1612682342529297,-8.73915123520419e-05,-0.2958320677280426,0.00042375465272925794,-1.836994670156855e-05,0.035601913928985596,-0.037360724061727524
follower_left,waist,9,0.05007616803050041,-0.9599583148956299,1.1612951755523682,0.00014102821296546608,-0.29541051387786865,0.00042154622497037053,-1.8158149032387882e-05,0.03292961046099663,-0.03600630909204483
follower_left,waist,10,0.0500650592148304,-0.9599342346191406,1.1612709760665894,0.0003362199058756232,-0.2958182990550995,0.0003924849152099341,-1.6870400941115804e-05,0.029808208346366882,-0.033765893429517746
follower_left,waist,11,0.050053954124450684,-0.9599658250808716,1.161192774772644,0.0005011336761526763,-0.2959841191768646,0.0003406649047974497,-1.4653846847068053e-05,0.026482313871383667,-0.030871277675032616
follower_left,waist,12,0.05004343017935753,-0.9599434733390808,1.1612505912780762,0.0006543948547914624,-0.2959674298763275,0.0002713772701099515,-1.1689548955473583e-05,0.02319391816854477,-0.027586249634623528
follower_left,waist,13,0.05001708120107651,-0.9599509835243225,1.1612704992294312,0.0009907848434522748,-0.2956349849700928,9.663114724389743e-06,-1.8004989499331714e-07,0.020999999716877937,-0.024174777790904045
follower_left,waist,14,0.05001230910420418,-0.9599422216415405,1.1612733602523804,0.0010898736072704196,-0.2957466244697571,-5.124128074385226e-05,2.4764908630459104e-06,0.020999999716877937,-0.022083966061472893
follower_left,waist,15,0.050011441111564636,-0.9599549770355225,1.161226511001587,0.001098480774089694,-0.2958827316761017,-3.6677483876701444e-05,1.7762349671102129e-06,0.021031908690929413,-0.020884232595562935
follower_left,waist,16,0.0500117726624012,-0.9599489569664001,1.161247730255127,0.0011141728609800339,-0.29595091938972473,-4.431457273312844e-05,2.088969267788343e-06,0.020999999716877937,-0.020306196063756943
follower_left,waist,17,0.0500129796564579,-0.9599497318267822,1.1612550020217896,0.001109811943024397,-0.2957543730735779,-3.125271177850664e-05,1.4758987845198135e-06,0.021018467843532562,-0.020103050395846367
follower_left,waist,18,0.050013571977615356,-0.9599460959434509,1.1612699031829834,0.0011179379653185606,-0.29576215147972107,-3.114578066742979e-05,1.4543048791892943e-06,0.021034181118011475,-0.020097170025110245
follower_left,waist,19,0.05001373216509819,-0.9599502682685852,1.1612428426742554,0.0011234614066779613,-0.2958238422870636,-3.3020347473211586e-05,1.5267847857103334e-06,0.021060878410935402,-0.020098431035876274
follower_left,waist,20,0.05001390352845192,-0.9599502682685852,1.1612470149993896,0.0011241600150242448,-0.295901358127594,-3.436762926867232e-05,1.578664523549378e-06,0.021088704466819763,-0.020100006833672523
follower_left,waist,21,0.05001405254006386,-0.9599493741989136,1.1612505912780762,0.0011259246384724975,-0.29581621289253235,-3.517666118568741e-05,1.608694446986192e-06,0.021112600341439247,-0.02010153979063034
follower_left,waist,22,0.0500141978263855,-0.9599481225013733,1.1612622737884521,0.0011291413102298975,-0.29578545689582825,-3.552180714905262e-05,1.6193586134249927e-06,0.021130071952939034,-0.020102787762880325
follower_left,waist,23,0.05001430958509445,-0.9599488973617554,1.1612513065338135,0.0011310456320643425,-0.2958065867424011,-3.57172466465272e-05,1.624589458515402e-06,0.021144060418009758,-0.020103706046938896
follower_left,waist,24,0.050014398992061615,-0.9599498510360718,1.161248803138733,0.001130435848608613,-0.2958601415157318,-3.5891203879145905e-05,1.6298072296194732e-06,0.02115652710199356,-0.020104460418224335
follower_left,waist,25,0.05001445859670639,-0.9599494338035583,1.1612498760223389,0.0011300190817564726,-0.29583680629730225,-3.6117966374149546e-05,1.6381653722419287e-06,0.021167989820241928,-0.02010522224009037
follower_left,waist,26,0.05001449957489967,-0.9599486589431763,1.1612564325332642,0.001131073571741581,-0.2958068549633026,-3.638818088802509e-05,1.6489497056682012e-06,0.02117854356765747,-0.020105987787246704
follower_left,waist,27,0.05001453310251236,-0.959948718547821,1.1612536907196045,0.0011323010548949242,-0.29580748081207275,-3.669637590064667e-05,1.6617873370705638e-06,0.02118828520178795,-0.020106766372919083
follower_left,waist,28,0.050014544278383255,-0.9599496126174927,1.1612505912780762,0.0011323060607537627,-0.295836478471756,-3.700693559949286e-05,1.6750365148254787e-06,0.021197400987148285,-0.02010755054652691
follower_left,waist,29,0.05001455545425415,-0.959949254989624,1.1612502336502075,0.001131887431256473,-0.29583740234375,-3.7292677006917074e-05,1.6873827917152084e-06,0.021206073462963104,-0.020108340308070183
follower_left,waist,30,0.050014566630125046,-0.9599490761756897,1.1612540483474731,0.0011321785859763622,-0.29581955075263977,-3.756167643587105e-05,1.6991452866932377e-06,0.021214382722973824,-0.0201091468334198
follower_left,waist,31,0.05001457408070564,-0.959948718547821,1.1612541675567627,0.0011329055996611714,-0.2958122789859772,-3.783312058658339e-05,1.7110889984905953e-06,0.02122238278388977,-0.020109964534640312
follower_left,waist,32,0.05001457408070564,-0.9599494338035583,1.1612520217895508,0.0011331364512443542,-0.2958258390426636,-3.809935151366517e-05,1.7228768456334365e-06,0.021230140700936317,-0.020110784098505974
follower_left,waist,33,0.05001457780599594,-0.959949254989624,1.1612507104873657,0.0011328815016895533,-0.2958335876464844,-3.83451915695332e-05,1.733819999572006e-06,0.021237699314951897,-0.020111605525016785
follower_left,waist,34,0.05001457780599594,-0.9599493145942688,1.1612529754638672,0.0011328653199598193,-0.295825719833374,-3.857290357700549e-05,1.7440452211303636e-06,0.021245067939162254,-0.02011243999004364
follower_left,waist,35,0.05001457408070564,-0.9599488377571106,1.1612533330917358,0.001133277197368443,-0.29581668972969055,-3.879649375448935e-05,1.7540160115459003e-06,0.021252283826470375,-0.020113283768296242
follower_left,waist,36,0.05001455545425415,-0.9599491953849792,1.1612530946731567,0.0011335393646731973,-0.29582270979881287,-3.9019196265144274e-05,1.7640180658418103e-06,0.021259361878037453,-0.02011413313448429
follower_left,waist,37,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,38,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,39,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,40,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,41,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,42,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,43,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,44,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,45,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,46,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,47,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,48,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,49,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,50,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,51,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,52,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,53,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,54,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,55,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,56,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,57,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,58,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,waist,59,0.050014544278383255,-0.9599491357803345,1.1612516641616821,0.0011334833689033985,-0.2958284914493561,-3.923120311810635e-05,1.7735425217324519e-06,0.02126629650592804,-0.02011498622596264
follower_left,shoulder,0,4.4356525904731825e-05,-0.9140543341636658,1.156895637512207,-0.0012666127877309918,-0.3062002956867218,0.0008320828201249242,2.5830142931226874e-06,0.022061912342905998,-0.013804390095174313
follower_left,shoulder,1,1.919650640047621e-05,-0.9022249579429626,1.1658000946044922,-0.00013691233471035957,-0.2717539370059967,0.000587540096603334,3.013071591340122e-06,0.02167140506207943,-0.013861119747161865
follower_left,shoulder,2,3.224131796741858e-05,-0.9134533405303955,1.1682802438735962,0.0017553777433931828,-0.2705257833003998,0.00040798934060148895,3.265493660364882e-06,0.021302035078406334,-0.014031131751835346
follower_left,shoulder,3,1.9585200789151713e-05,-0.9074612259864807,1.1542946100234985,0.0015502608148381114,-0.3061966300010681,0.0002680249453987926,3.8064526961534284e-06,0.021025242283940315,-0.014272741973400116
follower_left,shoulder,4,2.1263565940898843e-05,-0.9133667349815369,1.158219337463379,0.0003269368316978216,-0.31891945004463196,0.000156835449161008,4.708632786787348e-06,0.020999999716877937,-0.014550930820405483
follower_left,shoulder,5,2.3214386601466686e-05,-0.907863199710846,1.1613681316375732,0.00030802510445937514,-0.28267648816108704,8.710975089343265e-05,4.821418315259507e-06,0.02100212499499321,-0.014900870621204376
follower_left,shoulder,6,2.3652788513572887e-05,-0.9095277786254883,1.1661581993103027,0.0014465252170339227,-0.27682459354400635,4.133640686632134e-05,4.5661008698516525e-06,0.02103705145418644,-0.015311511233448982
follower_left,shoulder,7,2.1934905817033723e-05,-0.909702718257904,1.160043478012085,0.0017977921525016427,-0.2926652431488037,9.304506420448888e-06,4.302020442992216e-06,0.02107151225209236,-0.01578851416707039
follower_left,shoulder,8,1.9786641132668592e-05,-0.9106959104537964,1.1579922437667847,0.0010029656114056706,-0.30823516845703125,-1.3249717085273005e-05,4.090882612217683e-06,0.021130941808223724,-0.016278553754091263
follower_left,shoulder,9,2.202308678533882e-05,-0.9100823998451233,1.1609011888504028,0.0006567186792381108,-0.2966267466545105,-2.1171783373574726e-05,3.5467082852846943e-06,0.021240901201963425,-0.016715962439775467
