command_target,direction,end_effector_x_m,end_effector_y_m,end_effector_z_m,frame,joint,joint_index,joint_readback,joint_velocity,position_error,repeat,robot,test,time_s,unit
-5.730042961549522e-05,negative,0.31769856810569763,-0.018975635990500454,0.3138662278652191,1,waist,0,2.370571564824786e-06,-0.0008575750980526209,-5.967100118032001e-05,0,follower_right,waist_negative,0.016666666666666666,rad
-0.00027184089600781344,negative,0.3177040219306946,-0.018963135778903965,0.3143137991428375,2,waist,0,-6.730501627316698e-05,-0.0006846296600997448,-0.00020453587973464645,0,follower_right,waist_negative,0.03333333333333333,rad
-0.0006213607862684445,negative,0.3177006244659424,-0.018944650888442997,0.3146848678588867,3,waist,0,-0.0002094072988256812,-0.0012240223586559296,-0.0004119534874427633,0,follower_right,waist_negative,0.05,rad
-0.0010992757382574708,negative,0.31772810220718384,-0.01891027204692364,0.31444838643074036,4,waist,0,-0.00044055114267393947,-0.0021475497633218765,-0.0006587245955835313,0,follower_right,waist_negative,0.06666666666666667,rad
-0.0016990013898349737,negative,0.317704975605011,-0.018859915435314182,0.31437385082244873,5,waist,0,-0.0007696520769968629,-0.0029928945004940033,-0.0009293493128381108,0,follower_right,waist_negative,0.08333333333333333,rad
-0.0024139533788610375,negative,0.3177230954170227,-0.018729364499449733,0.31448617577552795,6,waist,0,-0.001629199250601232,-0.0035901572555303574,-0.0007847541282598055,0,follower_right,waist_negative,0.1,rad
-0.0032375473431957426,negative,0.31771600246429443,-0.018609786406159404,0.31458374857902527,7,waist,0,-0.002422093413770199,-0.0037226099520921707,-0.0008154539294255437,0,follower_right,waist_negative,0.11666666666666667,rad
-0.004163198920699172,negative,0.3177230954170227,-0.018454506993293766,0.31452274322509766,8,waist,0,-0.0034488539677113295,-0.003989133983850479,-0.0007143449529878427,0,follower_right,waist_negative,0.13333333333333333,rad
-0.005184323749231409,negative,0.31771668791770935,-0.01830062083899975,0.31443923711776733,9,waist,0,-0.004462739452719688,-0.004183676093816757,-0.0007215842965117205,0,follower_right,waist_negative,0.15,rad
-0.006294337466652532,negative,0.31772100925445557,-0.018120191991329197,0.3144691288471222,10,waist,0,-0.005650382023304701,-0.0046376194804906845,-0.0006439554433478314,0,follower_right,waist_negative,0.16666666666666666,rad
-0.007486655710822628,negative,0.31772133708000183,-0.01793928258121014,0.3145316541194916,11,waist,0,-0.006844035815447569,-0.0048804087564349174,-0.0006426198953750593,0,follower_right,waist_negative,0.18333333333333332,rad
-0.008754694119601778,negative,0.31772473454475403,-0.017738234251737598,0.314528226852417,12,waist,0,-0.008171494118869305,-0.00542978011071682,-0.0005832000007324738,0,follower_right,waist_negative,0.2,rad
-0.010091868330850063,negative,0.31772470474243164,-0.01753437146544457,0.3144778609275818,13,waist,0,-0.009514650329947472,-0.005778087303042412,-0.0005772180009025914,0,follower_right,waist_negative,0.21666666666666667,rad
-0.011491593982427568,negative,0.3177270293235779,-0.017314946278929714,0.3144737780094147,14,waist,0,-0.010960289277136326,-0.006647693924605846,-0.0005313047052912419,0,follower_right,waist_negative,0.23333333333333334,rad
-0.01294728671219437,negative,0.31773003935813904,-0.017092986032366756,0.3145056962966919,15,waist,0,-0.012423301115632057,-0.007303589954972267,-0.0005239855965623128,0,follower_right,waist_negative,0.25,rad
-0.014452362158010558,negative,0.31773367524147034,-0.016859646886587146,0.31451931595802307,16,waist,0,-0.013961619697511196,-0.00895676389336586,-0.0004907424604993615,0,follower_right,waist_negative,0.26666666666666666,rad
-0.016000235957736208,negative,0.317736953496933,-0.01662389934062958,0.3144954442977905,17,waist,0,-0.015516324900090694,-0.009319380857050419,-0.0004839110576455134,0,follower_right,waist_negative,0.2833333333333333,rad
-0.017584323749231412,negative,0.3177403211593628,-0.01637983322143555,0.31448355317115784,18,waist,0,-0.017123783007264137,-0.010588221251964569,-0.0004605407419672747,0,follower_right,waist_negative,0.3,rad
-0.019198041170356235,negative,0.317745178937912,-0.016134275123476986,0.31449562311172485,19,waist,0,-0.018742382526397705,-0.01094145979732275,-0.00045565864395853,0,follower_right,waist_negative,0.31666666666666665,rad
-0.02083480385897078,negative,0.31775009632110596,-0.015883713960647586,0.31450948119163513,20,waist,0,-0.020393164828419685,-0.01168209407478571,-0.0004416390305510935,0,follower_right,waist_negative,0.3333333333333333,rad
-0.022488027452935114,negative,0.3177557587623596,-0.015632776543498043,0.3145013451576233,21,waist,0,-0.02204771898686886,-0.011875118128955364,-0.0004403084660662554,0,follower_right,waist_negative,0.35,rad
-0.02415112759010932,negative,0.31776103377342224,-0.015379427000880243,0.31449103355407715,22,waist,0,-0.023717446252703667,-0.012207841500639915,-0.00043368133740565376,0,follower_right,waist_negative,0.36666666666666664,rad
-0.025817519908353487,negative,0.31776750087738037,-0.01512710750102997,0.3144935369491577,23,waist,0,-0.025381041690707207,-0.012003470212221146,-0.00043647821764628003,0,follower_right,waist_negative,0.38333333333333336,rad
-0.027480620045527704,negative,0.31777411699295044,-0.014874923974275592,0.31450265645980835,24,waist,0,-0.027042964473366737,-0.012256549671292305,-0.0004376555721609665,0,follower_right,waist_negative,0.4,rad
-0.029133843639492042,negative,0.31778132915496826,-0.014625165611505512,0.314502090215683,25,waist,0,-0.028689144179224968,-0.01186360977590084,-0.00044469946026707424,0,follower_right,waist_negative,0.4166666666666667,rad
-0.030770606328106576,negative,0.3177884817123413,-0.01437812298536301,0.3144957721233368,26,waist,0,-0.030317364260554314,-0.011891023255884647,-0.00045324206755226193,0,follower_right,waist_negative,0.43333333333333335,rad
-0.03238432374923141,negative,0.3177960515022278,-0.01413516886532307,0.31449446082115173,27,waist,0,-0.031919121742248535,-0.011467867530882359,-0.00046520200698287745,0,follower_right,waist_negative,0.45,rad
-0.033968411540726606,negative,0.31780385971069336,-0.013897131197154525,0.31449899077415466,28,waist,0,-0.033488571643829346,-0.011078334413468838,-0.0004798398968972606,0,follower_right,waist_negative,0.4666666666666667,rad
-0.035516285340452265,negative,0.3178119659423828,-0.013664982281625274,0.3145007789134979,29,waist,0,-0.0350189208984375,-0.010341833345592022,-0.0004973644420147652,0,follower_right,waist_negative,0.48333333333333334,rad
-0.03702136078626844,negative,0.31782007217407227,-0.013439725153148178,0.3144979774951935,30,waist,0,-0.03650372847914696,-0.009375222027301788,-0.000517632307121485,0,follower_right,waist_negative,0.5,rad
-0.03847705351603525,negative,0.31782811880111694,-0.013222457841038707,0.3144959807395935,31,waist,0,-0.03793580085039139,-0.0083690220490098,-0.0005412526656438654,0,follower_right,waist_negative,0.5166666666666667,rad
-0.03987677916761276,negative,0.31783610582351685,-0.013014137744903568,0.3144977390766144,32,waist,0,-0.03930950164794922,-0.007425702176988125,-0.0005672775196635393,0,follower_right,waist_negative,0.5333333333333333,rad
-0.04121395337886104,negative,0.3178442716598511,-0.0128158163279295,0.3144995868206024,33,waist,0,-0.040617093443870544,-0.0071918899193406105,-0.000596859934990493,0,follower_right,waist_negative,0.55,rad
-0.042481991787640186,negative,0.31785205006599426,-0.012628273107111457,0.3144984841346741,34,waist,0,-0.04185360670089722,-0.006886670365929604,-0.0006283850867429691,0,follower_right,waist_negative,0.5666666666666667,rad
-0.043674310031810284,negative,0.3178594410419464,-0.012452632188797,0.31449711322784424,35,waist,0,-0.04301108419895172,-0.006503974087536335,-0.0006632258328585633,0,follower_right,waist_negative,0.5833333333333334,rad
-0.044784323749231414,negative,0.31786656379699707,-0.01228992082178593,0.3144974708557129,36,waist,0,-0.04408368468284607,-0.006239208392798901,-0.0007006390663853446,0,follower_right,waist_negative,0.6,rad
-0.04580544857776364,negative,0.3178732991218567,-0.012140967883169655,0.31449878215789795,37,waist,0,-0.04506563022732735,-0.006005032919347286,-0.0007398183504362943,0,follower_right,waist_negative,0.6166666666666667,rad
-0.046731100155267075,negative,0.31787943840026855,-0.01200700365006924,0.31449857354164124,38,waist,0,-0.04594872519373894,-0.005780637264251709,-0.0007823749615281372,0,follower_right,waist_negative,0.6333333333333333,rad
-0.04755469411960178,negative,0.31788498163223267,-0.011888401582837108,0.31449782848358154,39,waist,0,-0.046730250120162964,-0.005518651567399502,-0.0008244439994388175,0,follower_right,waist_negative,0.65,rad
-0.04826964610862784,negative,0.3178897798061371,-0.011786302551627163,0.3144975006580353,40,waist,0,-0.04740258306264877,-0.005191604606807232,-0.000867063045979069,0,follower_right,waist_negative,0.6666666666666666,rad
-0.048869371760205345,negative,0.3178938031196594,-0.011701308190822605,0.3144984543323517,41,waist,0,-0.047961704432964325,-0.00479562021791935,-0.0009076673272410199,0,follower_right,waist_negative,0.6833333333333333,rad
-0.04934728671219438,negative,0.3178972005844116,-0.011633640155196193,0.3144986033439636,42,waist,0,-0.04840681701898575,-0.004362616688013077,-0.0009404696932086287,0,follower_right,waist_negative,0.7,rad
-0.049696806602455006,negative,0.31789976358413696,-0.011580894701182846,0.3144979774951935,43,waist,0,-0.04875357821583748,-0.004022578708827496,-0.000943228386617527,0,follower_right,waist_negative,0.7166666666666667,rad
-0.049911347068847325,negative,0.3179020583629608,-0.011534880846738819,0.31449782848358154,44,waist,0,-0.049055907875299454,-0.0037085851654410362,-0.0008554391935478717,0,follower_right,waist_negative,0.7333333333333333,rad
-0.04998432374923141,negative,0.31790393590927124,-0.011498162522912029,0.3144981563091278,45,waist,0,-0.04929758608341217,-0.0031919674947857857,-0.0006867376658192398,0,follower_right,waist_negative,0.75,rad
8.865293115268038e-05,positive,0.3176986575126648,-0.018981428816914562,0.31386637687683105,1,waist,0,4.089492722414434e-05,-0.0005378899513743818,4.7758003928536044e-05,0,follower_right,waist_positive,0.016666666666666666,rad
0.0003031933975449986,positive,0.3177039325237274,-0.018990483134984974,0.3143140375614166,2,waist,0,0.0001129350348492153,0.0005167843773961067,0.0001902583626957833,0,follower_right,waist_positive,0.03333333333333333,rad
0.0006527132878056297,positive,0.3177006244659424,-0.0190157312899828,0.31468501687049866,3,waist,0,0.00025990200811065733,0.0011721309274435043,0.00039281127969497233,0,follower_right,waist_positive,0.05,rad
0.001130628239794656,positive,0.31772810220718384,-0.019051991403102878,0.3144484758377075,4,waist,0,0.0004942020168527961,0.0016864771023392677,0.0006364262229418599,0,follower_right,waist_positive,0.06666666666666667,rad
0.0017303538913721588,positive,0.3177050054073334,-0.019103838130831722,0.3143738806247711,5,waist,0,0.0008393411408178508,0.0023795748129487038,0.000891012750554308,0,follower_right,waist_positive,0.08333333333333333,rad
0.0024453058803982227,positive,0.3177233338356018,-0.01923218555748463,0.3144861161708832,6,waist,0,0.0016870169201865792,0.003026154823601246,0.0007582889602116435,0,follower_right,waist_positive,0.1,rad
0.0032688998447329277,positive,0.31771621108055115,-0.01935570687055588,0.3145838677883148,7,waist,0,0.0024966136552393436,0.003208874724805355,0.0007722861894935841,0,follower_right,waist_positive,0.11666666666666667,rad
0.004194551422236357,positive,0.3177233636379242,-0.019508374854922298,0.31452280282974243,8,waist,0,0.003500456688925624,0.0033689960837364197,0.0006940947333107335,0,follower_right,waist_positive,0.13333333333333333,rad
0.005215676250768594,positive,0.3177168667316437,-0.019665401428937915,0.3144392967224121,9,waist,0,0.004536118358373642,0.0034973034635186195,0.0006795578923949521,0,follower_right,waist_positive,0.15,rad
0.006325689968189717,positive,0.3177212178707123,-0.019841441884636882,0.3144693076610565,10,waist,0,0.0056989300064742565,0.003679228015244007,0.0006267599617154609,0,follower_right,waist_positive,0.16666666666666666,rad
0.007518008212359813,positive,0.3177213668823242,-0.020025800913572315,0.3145316243171692,11,waist,0,0.0069133928045630455,0.00390066672116518,0.0006046154077967679,0,follower_right,waist_positive,0.18333333333333332,rad
0.008786046621138964,positive,0.31772491335868835,-0.020224511623382572,0.3145284056663513,12,waist,0,0.00822113361209631,0.00409405492246151,0.000564913009042654,0,follower_right,waist_positive,0.2,rad
0.010123220832387248,positive,0.3177247941493988,-0.02043084986507893,0.314477801322937,13,waist,0,0.009581741876900196,0.004303945694118738,0.0005414789554870521,0,follower_right,waist_positive,0.21666666666666667,rad
0.011522946483964753,positive,0.3177269995212555,-0.020647337660193447,0.3144742250442505,14,waist,0,0.011010203510522842,0.0045266300439834595,0.0005127429734419105,0,follower_right,waist_positive,0.23333333333333334,rad
0.012978639213731555,positive,0.31772997975349426,-0.02087139524519444,0.31450584530830383,15,waist,0,0.012486549094319344,0.004739480093121529,0.0004920901194122116,0,follower_right,waist_positive,0.25,rad
0.014483714659547743,positive,0.3177335262298584,-0.021103018894791607,0.3145195245742798,16,waist,0,0.014012669213116169,0.004949405323714018,0.0004710454464315738,0,follower_right,waist_positive,0.26666666666666666,rad
0.016031588459273393,positive,0.3177369236946106,-0.021340582519769672,0.3144955635070801,17,waist,0,0.01557763572782278,0.005160677246749401,0.0004539527314506124,0,follower_right,waist_positive,0.2833333333333333,rad
0.017615676250768597,positive,0.3177400827407837,-0.021582923829555515,0.3144838809967041,18,waist,0,0.01717587746679783,0.00544443354010582,0.00043979878397076844,0,follower_right,waist_positive,0.3,rad
0.01922939367189342,positive,0.31774500012397766,-0.02182942256331444,0.31449583172798157,19,waist,0,0.018801257014274597,0.005709188058972359,0.0004281366576188231,0,follower_right,waist_positive,0.31666666666666665,rad
0.020866156360507964,positive,0.3177497982978821,-0.022079132497310642,0.314509779214859,20,waist,0,0.020446280017495155,0.005918406881392002,0.0004198763430128087,0,follower_right,waist_positive,0.3333333333333333,rad
0.0225193799544723,positive,0.3177555203437805,-0.022330969572067264,0.31450164318084717,21,waist,0,0.022105764597654343,0.006084868218749762,0.00041361535681795625,0,follower_right,waist_positive,0.35,rad
0.024182480091646506,positive,0.317760705947876,-0.022583657875657085,0.3144916594028473,22,waist,0,0.02377132698893547,0.006213491782546043,0.00041115310271103503,0,follower_right,waist_positive,0.36666666666666664,rad
0.025848872409890672,positive,0.3177669942378998,-0.022836474701762203,0.314493864774704,23,waist,0,0.0254377331584692,0.006338362582027912,0.0004111392514214718,0,follower_right,waist_positive,0.38333333333333336,rad
0.02751197254706489,positive,0.3177734911441803,-0.023088222369551662,0.3145029842853546,24,waist,0,0.02709764987230301,0.006422498729079962,0.00041432267476188,0,follower_right,waist_positive,0.4,rad
0.029165196141029227,positive,0.3177807629108429,-0.02333818376064301,0.3145022988319397,25,waist,0,0.028744906187057495,0.006516205612570047,0.00042028995397173224,0,follower_right,waist_positive,0.4166666666666667,rad
0.03080195882964376,positive,0.317787766456604,-0.023585118353366855,0.31449630856513977,26,waist,0,0.030372759327292442,0.006525441072881222,0.00042919950235131843,0,follower_right,waist_positive,0.43333333333333335,rad
0.0324156762507686,positive,0.3177952766418457,-0.023828143253922466,0.3144949972629547,27,waist,0,0.031974926590919495,0.006473608780652285,0.00044074965984910314,0,follower_right,waist_positive,0.45,rad
0.03399976404226379,positive,0.3178030252456665,-0.024066140875220302,0.3144994378089905,28,waist,0,0.03354404866695404,0.006416960619390011,0.0004557153753097509,0,follower_right,waist_positive,0.4666666666666667,rad
0.03554763784198945,positive,0.31781113147735596,-0.024298293516039852,0.3145011365413666,29,waist,0,0.035074759274721146,0.006382116582244635,0.00047287856726830474,0,follower_right,waist_positive,0.48333333333333334,rad
0.03705271328780563,positive,0.31781911849975586,-0.024523638188838962,0.31449827551841736,30,waist,0,0.036559876054525375,0.006344236899167299,0.0004928372332802522,0,follower_right,waist_positive,0.5,rad
0.03850840601757244,positive,0.31782716512680054,-0.02474099770188332,0.3144964277744293,31,waist,0,0.037992753088474274,0.006294869352132082,0.0005156529290981648,0,follower_right,waist_positive,0.5166666666666667,rad
0.03990813166914994,positive,0.3178350329399109,-0.02494936622679234,0.31449806690216064,32,waist,0,0.03936656937003136,0.006277842912822962,0.0005415622991185864,0,follower_right,waist_positive,0.5333333333333333,rad
0.04124530588039822,positive,0.3178431987762451,-0.025147933512926105,0.3144998550415039,33,waist,0,0.040675386786460876,0.006214074324816465,0.0005699190939373461,0,follower_right,waist_positive,0.55,rad
0.04251334428917737,positive,0.31785082817077637,-0.025335440412163738,0.3144989013671875,34,waist,0,0.041912030428647995,0.0061119371093809605,0.0006013138605293761,0,follower_right,waist_positive,0.5666666666666667,rad
0.04370566253334747,positive,0.3178582191467285,-0.025511436164379123,0.3144974410533905,35,waist,0,0.04307163134217262,0.005988936871290207,0.000634031191174847,0,follower_right,waist_positive,0.5833333333333334,rad
0.0448156762507686,positive,0.3178652822971344,-0.02567430026829243,0.31449776887893677,36,waist,0,0.04414539039134979,0.0058732847683131695,0.0006702858594188066,0,follower_right,waist_positive,0.6,rad
0.045836801079300826,positive,0.31787192821502686,-0.025823613628745083,0.3144989013671875,37,waist,0,0.04512898996472359,0.005672108847647905,0.0007078111145772392,0,follower_right,waist_positive,0.6166666666666667,rad
0.04676245265680426,positive,0.31787803769111633,-0.02595789358019829,0.3144987225532532,38,waist,0,0.046014897525310516,0.0054525407031178474,0.0007475551314937434,0,follower_right,waist_positive,0.6333333333333333,rad
0.04758604662113897,positive,0.3178834915161133,-0.026076903566718105,0.3144979178905487,39,waist,0,0.04679807275533676,0.005189115181565285,0.0007879738658022051,0,follower_right,waist_positive,0.65,rad
0.04830099861016503,positive,0.3178882598876953,-0.026179241016507152,0.3144978880882263,40,waist,0,0.04747258871793747,0.0048342375084757805,0.0008284098922275579,0,follower_right,waist_positive,0.6666666666666666,rad
0.04890072426174253,positive,0.3178923726081848,-0.026264708489179615,0.3144984841346741,41,waist,0,0.04803486913442612,0.004424002952873707,0.0008658551273164131,0,follower_right,waist_positive,0.6833333333333333,rad
0.04937863921373156,positive,0.3178955614566803,-0.026333134621381763,0.31449854373931885,42,waist,0,0.04848455265164375,0.003993002697825432,0.0008940865620878091,0,follower_right,waist_positive,0.7,rad
