_step,_timestamp,_runtime,loss,grad_norm,param_norm,effective_batch_size,gradient_accumulation_steps,data_wait_time,train_block_time,train_dispatch_time,train_step_time
0,1779264345.5432398,693.733160713,0.06770342588424683,0.8950146436691284,1802.3863525390625,256,1,329.93851450644433,0.009485872462391853,129.55808272957802,129.5675703957677
10,1779264373.8394392,722.028132391,0.06674858182668686,1.030463695526123,1802.3865966796875,256,1,0.04814376253634691,0.1765876855701208,2.5899466160684823,2.766540013253689
20,1779264402.134332,749.923515762,0.0665731430053711,0.9633473753929138,1802.3865966796875,256,1,0.09146633408963681,0.12957654874771835,2.605914163030684,2.7354933582246304
30,1779264430.0290122,777.813264615,0.0625118538737297,0.8517419099807739,1802.3865966796875,256,1,0.05036097299307585,0.12754606176167727,2.6093558264896273,2.736905748769641
40,1779264457.9196777,805.714258483,0.0571807399392128,0.6787675023078918,1802.3865966796875,256,1,0.05149081535637379,0.1325335180386901,2.602800462767482,2.735337263904512
50,1779264485.8201413,833.595143873,0.054036565124988556,0.6111475825309753,1802.3865966796875,256,1,0.049882504530251025,0.13334977198392153,2.604882091097534,2.7382340598851442
60,1779264513.701647,876.45076282,0.050888266414403915,0.36448508501052856,1802.3865966796875,256,1,0.04773751031607389,0.1347027700394392,2.6040409483015536,2.738746066763997
70,1779264556.5566814,904.532539744,0.04714806750416756,0.2646898627281189,1802.3865966796875,256,1,1.5477855056524277,0.13312610816210507,2.602468694746494,2.7355994138866664
80,1779264584.6385787,932.508353822,0.04586635157465935,0.22982566058635712,1802.3865966796875,256,1,0.07346255481243133,0.13174907751381398,2.6010001266375182,2.7327528078109027
90,1779264612.6148598,960.344445223,0.04342222958803177,0.19358472526073456,1802.3865966796875,256,1,0.04519391916692257,0.13558474443852903,2.6151303404942157,2.7507173173129558
100,1779264640.4510674,988.227234851,0.041747529059648514,0.17317913472652435,1802.3865966796875,256,1,0.04187285844236612,0.13335289899259806,2.6067369747906923,2.7400933392345905
110,1779264668.3334227,1016.141583332,0.04189683496952057,0.1423957645893097,1802.3865966796875,256,1,0.044806650839746,0.13423806708306074,2.6073884988203644,2.741630488075316
120,1779264696.2479515,1060.678577866,0.04050666093826294,0.1658702790737152,1802.3865966796875,256,1,0.04431423880159855,0.13496010266244413,2.610418795235455,2.745381394773722
130,1779264740.7849324,1088.670169396,0.037561457604169846,0.12904103100299835,1802.3865966796875,256,1,1.7129206858575343,0.13216737676411866,2.606742812693119,2.738913689367473
140,1779264768.7758536,1116.466371824,0.036254435777664185,0.12598557770252228,1802.3865966796875,256,1,0.057692297548055646,0.13348746355623006,2.605958651937544,2.739449662156403
150,1779264796.5721114,1144.262044048,0.034890469163656235,0.11939263343811035,1802.3865966796875,256,1,0.03409822937101126,0.1348980363458395,2.6088694266974928,2.743770082294941
160,1779264824.3672984,1172.057326934,0.033533819019794464,0.10596263408660889,1802.3865966796875,256,1,0.034143175929784775,0.1325306000187993,2.6109100496396422,2.7434442270547152
170,1779264852.1629002,1199.911454951,0.033100228756666183,0.10001470893621445,1802.3865966796875,256,1,0.03544532153755427,0.13444323129951954,2.6077545594424008,2.742201195470989
180,1779264880.0173435,1227.721450392,0.03174486756324768,0.11132382601499557,1802.3865966796875,256,1,0.0385105274617672,0.133921498991549,2.6111293042078616,2.7450546588748694
190,1779264907.827885,1269.290452027,0.0314197801053524,0.104015052318573,1802.3865966796875,256,1,0.03595357574522495,0.134602771140635,2.608712457679212,2.743318335339427
200,1779264949.3966453,1297.266092233,0.029252612963318825,0.09465314447879791,1802.3865966796875,256,1,1.4169936807826162,0.13942216150462627,2.5989415146410466,2.7383657108992336
210,1779264977.3721166,1325.043216618,0.02902410924434662,0.10110639780759811,1802.3865966796875,256,1,0.04999201651662588,0.13975461777299641,2.606411608681083,2.746168111264706
220,1779265005.149297,1352.83859973,0.027371270582079887,0.09980969876050949,1802.3865966796875,256,1,0.03188332263380289,0.13551268428564073,2.6088266668841245,2.744341433979571
230,1779265032.9447408,1380.626971852,0.02675647847354412,0.10658007115125656,1802.3865966796875,256,1,0.03361068926751613,0.1364920273423195,2.6081824189051988,2.7446764439344404
240,1779265060.7330012,1408.449451509,0.026319963857531548,0.10187424719333649,1802.3865966796875,256,1,0.03304404616355896,0.1361635483801365,2.6081161249428986,2.744282413460314
250,1779265088.5555847,1451.522160207,0.026081202551722527,0.1053556427359581,1802.385986328125,256,1,0.036090676486492154,0.13534767720848323,2.609286163747311,2.7446358781307936
260,1779265131.6283817,1479.546195346,0.02431371621787548,0.10288061946630478,1802.3861083984375,256,1,1.5699398254975676,0.1369753446429968,2.5987116342410443,2.7356888774782417
270,1779265159.652087,1507.322782454,0.02445344254374504,0.11242319643497467,1802.3865966796875,256,1,0.05669379588216543,0.1362839987501502,2.6078817157074807,2.744167809188366
280,1779265187.4290683,1535.126536097,0.024234214797616005,0.10878876596689224,1802.3865966796875,256,1,0.031087424978613852,0.13675497770309447,2.6081080390140414,2.74486642498523
290,1779265215.2327166,1562.903576446,0.02305104024708271,0.09874153137207031,1802.385986328125,256,1,0.03117061611264944,0.13549691680818796,2.6120442375540733,2.7475434977561237
300,1779265243.0096617,1591.018494862,0.022687887772917747,0.10698538273572922,1802.3865966796875,256,1,0.03291518483310938,0.13687850199639798,2.606357166171074,2.7432375472038983
310,1779265270.827606,1632.788526885,0.023066481575369835,0.11330919712781906,1802.3865966796875,256,1,0.03462366871535778,0.13600863106548786,2.6099235981702806,2.7459340691566467
320,1779265312.894767,1660.464086707,0.02230665646493435,0.10540663450956345,1802.3865966796875,256,1,1.437151800468564,0.1367387631908059,2.6015487510710953,2.738289032690227
330,1779265340.5700724,1688.453206509,0.022070087492465973,0.10331064462661743,1802.3865966796875,256,1,0.02573671955615282,0.13548284396529198,2.604951398447156,2.7404363963752987
340,1779265368.5593705,1716.209147843,0.0214890968054533,0.10477758944034576,1802.3865966796875,256,1,0.05152761787176132,0.13599945344030856,2.6097423493862153,2.7457440584897994
350,1779265396.3150983,1743.974445267,0.02153952233493328,0.10181792080402374,1802.3865966796875,256,1,0.027718202956020833,0.13658311497420073,2.609723988734186,2.746309332549572
