actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
,,45.0,256.0,,2.048853,2.048853,0.0,45.0,0.485253,,,,,,,,45.0,0.28125
0.041444,-0.274014,46.0,256.0,14.128063,2.147486,2.147486,0.0,46.0,,2.536264,0.113371,0.02096,10.0,0.2096,-0.483614,-0.483614,46.0,
,,47.0,256.0,,1.950462,1.950462,0.0,47.0,0.497397,,,,,,,,47.0,0.3125
0.037743,-0.233447,48.0,256.0,20.36956,2.37674,2.37674,0.0,48.0,,2.17218,0.119459,0.024239,10.0,0.242391,-0.475838,-0.475838,48.0,
,,49.0,256.0,,2.035609,2.035609,0.0,49.0,0.479381,,,,,,,,49.0,0.261719
0.053854,-0.143198,50.0,256.0,17.623941,2.301075,2.301075,0.0,50.0,,6.604939,0.117007,0.032886,10.0,0.328858,-0.472056,-0.472056,50.0,
,,51.0,256.0,,2.037243,2.037243,0.0,51.0,0.50745,,,,,,,,51.0,0.285156
0.046896,-0.272791,52.0,256.0,12.940484,2.071476,2.071476,0.0,52.0,,1.765777,0.115444,0.021186,10.0,0.211864,-0.484655,-0.484655,52.0,
,,53.0,256.0,,1.870244,1.870244,0.0,53.0,0.539983,,,,,,,,53.0,0.375
0.033734,-0.304147,54.0,256.0,18.701063,2.093383,2.093383,0.0,54.0,,1.514297,0.118883,0.0228,10.0,0.227997,-0.532144,-0.532144,54.0,
,,55.0,256.0,,2.112505,2.112505,0.0,55.0,0.501069,,,,,,,,55.0,0.269531
0.038686,-0.190317,56.0,256.0,13.638318,2.171495,2.171495,0.0,56.0,,3.333531,0.122239,0.025424,10.0,0.254242,-0.444559,-0.444559,56.0,
,,57.0,256.0,,2.155605,2.155605,0.0,57.0,0.537127,,,,,,,,57.0,0.320312
0.047958,-0.290044,58.0,256.0,26.583269,2.116718,2.116718,0.0,58.0,,1.770118,0.115534,0.022955,10.0,0.229553,-0.519597,-0.519597,58.0,
,,59.0,256.0,,2.291181,2.291181,0.0,59.0,0.537384,,,,,,,,59.0,0.292969
0.119194,-0.175117,60.0,256.0,13.996075,2.041959,2.041959,0.0,60.0,,1.667714,0.121843,0.026126,10.0,0.261265,-0.436382,-0.436382,60.0,
,,61.0,256.0,,2.278711,2.278711,0.0,61.0,0.478195,,,,,,,,61.0,0.296875
0.042872,-0.286426,62.0,256.0,18.477591,2.142519,2.142519,0.0,62.0,,1.7125,0.119478,0.024147,10.0,0.241473,-0.527898,-0.527898,62.0,
,,63.0,256.0,,2.186574,2.186574,0.0,63.0,0.564559,,,,,,,,63.0,0.300781
0.052153,-0.274364,64.0,256.0,16.964905,2.366648,2.366648,0.0,64.0,,1.61184,0.120096,0.02454,10.0,0.245401,-0.519765,-0.519765,64.0,
,,65.0,256.0,,2.365199,2.365199,0.0,65.0,0.483518,,,,,,,,65.0,0.234375
0.084815,-0.245703,66.0,256.0,11.550298,2.099946,2.099946,0.0,66.0,,1.512339,0.121825,0.02406,10.0,0.240602,-0.486305,-0.486305,66.0,
,,67.0,256.0,,2.208093,2.208093,0.0,67.0,0.52745,,,,,,,,67.0,0.324219
